iter	RMSE
0	105.5137011
1	102.5618929
2	100.0076614
3	97.79331759
4	95.85689788
5	94.15063397
6	92.67745043
7	91.38768446
8	90.29771076
9	89.31383323
10	88.37696727
11	87.60441163
12	86.83655581
13	86.17380839
14	85.55374143
15	84.91842052
16	84.35025058
17	83.87820866
18	83.44011717
19	83.01341137
20	82.61079713
21	82.22189157
22	81.88963804
23	81.51257296
24	81.13129789
25	80.87829774
26	80.58837293
27	80.34539889
28	80.10554016
29	79.81762497
30	79.50143868
31	79.30298284
32	78.94095475
33	78.74691531
34	78.44045855
35	78.1897445
36	77.97923734
37	77.82871285
38	77.59193541
39	77.44023549
40	77.24759577
41	77.05045808
42	76.82986216
43	76.66656723
44	76.42484652
45	76.161246
46	76.05500842
47	75.86566417
48	75.59830259
49	75.49151953
50	75.28269318
51	75.10663457
52	74.94937795
53	74.79471313
54	74.69116368
55	74.58741653
56	74.4000282
57	74.23051204
58	74.02345791
59	73.88241848
60	73.77109151
61	73.60586276
62	73.44070512
63	73.35006153
64	73.26119406
65	73.17917921
66	73.09163971
67	73.02791467
68	72.94364564
69	72.84195919
70	72.77712745
71	72.63897367
72	72.5669907
73	72.44110043
74	72.31570971
75	72.25228501
76	72.15250519
77	72.02691706
78	71.90012423
79	71.77865179
80	71.70917637
81	71.58372935
82	71.49352505
83	71.37824417
84	71.30162069
85	71.18649742
86	71.05991175
87	70.94445914
88	70.8610889
89	70.76193401
90	70.70123446
91	70.63239349
92	70.56940946
93	70.48730963
94	70.39693766
95	70.32515942
96	70.27309229
97	70.19346328
98	70.1196911
99	69.99154989
100	69.9297836
101	69.83464821
102	69.77155874
103	69.71120628
104	69.64457498
105	69.59902804
106	69.49520105
107	69.43574404
108	69.39614916
109	69.33805966
110	69.28759722
111	69.20216281
112	69.1725668
113	69.10876824
114	69.02006052
115	68.94196604
116	68.87670327
117	68.83636938
118	68.77956931
119	68.71746797
120	68.68628437
121	68.62512962
122	68.57647758
123	68.50145771
124	68.44313169
125	68.38684772
126	68.32830683
127	68.23440812
128	68.1312446
129	68.05497535
130	67.995245
131	67.95957447
132	67.89968571
133	67.82183305
134	67.77425562
135	67.7161265
136	67.66640287
137	67.59696154
138	67.55087111
139	67.49882035
140	67.47116473
141	67.40456282
142	67.35855961
143	67.25450537
144	67.17149467
145	67.10562792
146	67.04582019
147	67.01873231
148	66.95653792
149	66.90241656
150	66.83725568
151	66.79943997
152	66.73513966
153	66.66938491
154	66.60974583
155	66.56711676
156	66.51103163
157	66.44171891
158	66.37884452
159	66.35340705
160	66.28953482
161	66.23453698
162	66.16508147
163	66.10964211
164	66.04469773
165	65.98079592
166	65.94106222
167	65.88982867
168	65.84000958
169	65.80420121
170	65.76308629
171	65.72757175
172	65.70005975
173	65.62884891
174	65.57384299
175	65.54524775
176	65.48572364
177	65.44658112
178	65.40455982
179	65.3780741
180	65.32400068
181	65.28460798
182	65.2602302
183	65.2169749
184	65.18363074
185	65.13099452
186	65.10264758
187	65.06235958
188	65.01784095
189	64.9705798
190	64.92160271
191	64.86724428
192	64.82678129
193	64.79864739
194	64.76840543
195	64.73263999
196	64.69786571
197	64.65829964
198	64.62219973
199	64.58965804
200	64.56167426
201	64.5210635
202	64.48841591
203	64.438621
204	64.40641347
205	64.38209476
206	64.34502102
207	64.30619144
208	64.29079174
209	64.24057424
210	64.19107725
211	64.15377957
212	64.11970642
213	64.08066674
214	64.04832782
215	64.01959992
216	63.99069879
217	63.95916704
218	63.93800867
219	63.91883869
220	63.87099712
221	63.84684331
222	63.81768198
223	63.77866036
224	63.74097614
225	63.70326683
226	63.65822846
227	63.63111664
228	63.61052454
229	63.59283884
230	63.5613078
231	63.53627719
232	63.51171038
233	63.49086831
234	63.46148379
235	63.43586082
236	63.39653472
237	63.37264188
238	63.34790825
239	63.31145053
240	63.28359082
241	63.27359617
242	63.22211102
243	63.18371287
244	63.17110973
245	63.15206329
246	63.11936428
247	63.10566451
248	63.08126281
249	63.06087374
250	63.01886765
251	62.99495164
252	62.96132284
253	62.95389174
254	62.93425932
255	62.90811338
256	62.88591477
257	62.84421922
258	62.80673435
259	62.7755646
260	62.75692417
261	62.73912516
262	62.70259307
263	62.67822194
264	62.64827959
265	62.62814858
266	62.59810989
267	62.57141538
268	62.55090981
269	62.53235937
270	62.51095061
271	62.48238268
272	62.4496684
273	62.43147566
274	62.41228863
275	62.39329314
276	62.3699406
277	62.33745075
278	62.31001141
279	62.28816484
280	62.27206496
281	62.25826631
282	62.24182008
283	62.21051212
284	62.19941362
285	62.18003096
286	62.1649965
287	62.13262952
288	62.09911344
289	62.08687964
290	62.05848864
291	62.04008652
292	62.00929336
293	62.00140882
294	61.98563422
295	61.95714363
296	61.95007612
297	61.92092067
298	61.89903262
299	61.88088953
300	61.86697618
301	61.85191305
302	61.82809237
303	61.81456973
304	61.79425405
305	61.77490232
306	61.75527388
307	61.74050584
308	61.73441133
309	61.71285274
310	61.69186552
311	61.67237014
312	61.64807527
313	61.61154681
314	61.59037495
315	61.56288879
316	61.54950549
317	61.53070295
318	61.51149138
319	61.49245832
320	61.47795451
321	61.46630423
322	61.46081079
323	61.44898828
324	61.43367302
325	61.4226424
326	61.39616664
327	61.38647844
328	61.37238479
329	61.34720503
330	61.33099343
331	61.30880919
332	61.28612222
333	61.25977765
334	61.23387212
335	61.22413193
336	61.20719216
337	61.18547202
338	61.17830329
339	61.15623233
340	61.14742513
341	61.13371413
342	61.11655432
343	61.09953659
344	61.0842954
345	61.05572911
346	61.03357319
347	61.02203863
348	61.01035242
349	60.99842064
350	60.99030183
351	60.98036342
352	60.95511851
353	60.95044415
354	60.93187486
355	60.91407425
356	60.88711264
357	60.86688803
358	60.85221754
359	60.82233936
360	60.80340283
361	60.79599348
362	60.7876365
363	60.77284202
364	60.76946045
365	60.75365073
366	60.72774191
367	60.70969139
368	60.69204672
369	60.67652805
370	60.65959924
371	60.64193603
372	60.63002166
373	60.61525071
374	60.59935965
375	60.5948931
376	60.58921959
377	60.57293463
378	60.55651141
379	60.53994054
380	60.51162016
381	60.49888038
382	60.48600249
383	60.46861224
384	60.46070488
385	60.45321904
386	60.43300512
387	60.41912256
388	60.39450006
389	60.39028077
390	60.36549441
391	60.34366538
392	60.33617692
393	60.31593425
394	60.29751555
395	60.29069415
396	60.28132042
397	60.26888808
398	60.25668856
399	60.25193992
400	60.23802795
401	60.22425248
402	60.21104928
403	60.18974601
404	60.17285394
405	60.16291369
406	60.15012722
407	60.13556723
408	60.12827028
409	60.11099377
410	60.10460007
411	60.0879167
412	60.07174406
413	60.05330444
414	60.03721909
415	60.0145973
416	59.99188232
417	59.98095102
418	59.97599519
419	59.95989499
420	59.94641013
421	59.93456006
422	59.92725057
423	59.91788983
424	59.90007347
425	59.88532618
426	59.86906768
427	59.86169836
428	59.85012553
429	59.82793245
430	59.81332476
431	59.80524185
432	59.76562118
433	59.75168116
434	59.73829646
435	59.72179457
436	59.70325538
437	59.69437766
438	59.68640362
439	59.67700049
440	59.65753717
441	59.63949083
442	59.62789244
443	59.61898768
444	59.61556882
445	59.59459676
446	59.58360755
447	59.56592832
448	59.55554005
449	59.53370925
450	59.52294114
451	59.51111253
452	59.49868491
453	59.48287938
454	59.47178801
455	59.45449304
456	59.44568182
457	59.43444502
458	59.41395992
459	59.40738815
460	59.39139585
461	59.37861551
462	59.34759332
463	59.33454736
464	59.32673389
465	59.31115182
466	59.30192687
467	59.29089477
468	59.2788368
469	59.26920952
470	59.25880076
471	59.24651549
472	59.24388211
473	59.23389083
474	59.22401911
475	59.21730335
476	59.210424
477	59.19701489
478	59.18726197
479	59.18128988
480	59.1765962
481	59.16780651
482	59.16062345
483	59.14918786
484	59.13539488
485	59.12309092
486	59.11346392
487	59.10017544
488	59.08431405
489	59.07228406
490	59.05300289
491	59.0408445
492	59.03409549
493	59.01946027
494	59.01256271
495	59.00234397
496	58.99362974
497	58.97756882
498	58.96182021
499	58.95581213
500	58.94493608
501	58.93912351
502	58.92853952
503	58.91778196
504	58.90723225
505	58.89664869
506	58.88968355
507	58.87860565
508	58.86721953
509	58.85771213
510	58.84614614
511	58.82717318
512	58.81802263
513	58.81355593
514	58.80771544
515	58.79852851
516	58.7839452
517	58.77188808
518	58.76023152
519	58.74507368
520	58.73797715
521	58.72221627
522	58.71787819
523	58.71317614
524	58.69770775
525	58.68813811
526	58.67733426
527	58.67152624
528	58.65894792
529	58.65002923
530	58.64471056
531	58.63350071
532	58.61979381
533	58.61036324
534	58.59853622
535	58.58840367
536	58.58250367
537	58.56334594
538	58.55394361
539	58.54179069
