iter	Passed	Remaining
0	11	11495
1	22	11282
2	33	11075
3	43	10952
4	54	10941
5	66	10992
6	77	11025
7	88	10957
8	99	10911
9	110	10904
10	120	10843
11	131	10810
12	141	10765
13	152	10745
14	163	10704
15	173	10676
16	184	10693
17	195	10690
18	206	10676
19	217	10639
20	227	10594
21	237	10556
22	248	10536
23	258	10515
24	268	10483
25	278	10449
26	289	10444
27	300	10443
28	310	10409
29	321	10382
30	331	10369
31	341	10344
32	352	10322
33	362	10301
34	372	10283
35	383	10276
36	395	10287
37	405	10266
38	415	10241
39	426	10230
40	436	10208
41	446	10185
42	456	10166
43	467	10152
44	478	10146
45	488	10125
46	498	10105
47	508	10091
48	519	10084
49	529	10065
50	539	10043
51	549	10024
52	560	10013
53	570	9999
54	581	9985
55	591	9974
56	602	9965
57	612	9946
58	622	9921
59	632	9903
60	642	9891
61	652	9874
62	663	9861
63	673	9844
64	682	9822
65	693	9820
66	704	9806
67	714	9790
68	724	9772
69	734	9760
70	744	9740
71	755	9734
72	765	9718
73	776	9713
74	787	9708
75	798	9702
76	808	9697
77	820	9693
78	830	9684
79	841	9682
80	852	9674
81	864	9673
82	875	9673
83	886	9663
84	895	9644
85	906	9635
86	916	9619
87	927	9607
88	937	9594
89	948	9587
90	958	9573
91	968	9561
92	978	9546
93	988	9530
94	999	9521
95	1009	9507
96	1019	9495
97	1029	9477
98	1039	9464
99	1050	9452
100	1060	9437
101	1070	9425
102	1080	9409
103	1090	9396
104	1101	9390
105	1111	9375
106	1121	9363
107	1132	9352
108	1142	9338
109	1152	9327
110	1162	9313
111	1173	9304
112	1183	9293
113	1195	9292
114	1205	9280
115	1216	9269
116	1226	9256
117	1236	9243
118	1246	9228
119	1257	9218
120	1267	9204
121	1276	9190
122	1286	9174
123	1296	9159
124	1306	9148
125	1317	9138
126	1327	9124
127	1337	9110
128	1347	9099
129	1358	9088
130	1368	9076
131	1378	9064
132	1388	9051
133	1398	9039
134	1409	9031
135	1419	9017
136	1429	9002
137	1439	8991
138	1449	8978
139	1459	8964
140	1469	8953
141	1479	8941
142	1489	8928
143	1499	8915
144	1509	8901
145	1519	8886
146	1530	8878
147	1539	8864
148	1550	8853
149	1560	8841
150	1570	8831
151	1580	8819
152	1590	8807
153	1601	8795
154	1611	8784
155	1621	8774
156	1631	8762
157	1641	8747
158	1651	8736
159	1662	8725
160	1671	8712
161	1682	8702
162	1692	8691
163	1702	8681
164	1712	8668
165	1722	8656
166	1732	8643
167	1742	8628
168	1753	8620
169	1762	8607
170	1772	8593
171	1782	8581
172	1794	8576
173	1805	8568
174	1815	8557
175	1825	8545
176	1835	8536
177	1846	8525
178	1856	8513
179	1866	8504
180	1877	8494
181	1887	8482
182	1897	8470
183	1907	8458
184	1917	8446
185	1927	8437
186	1938	8425
187	1947	8413
188	1957	8401
189	1968	8393
190	1979	8382
191	1989	8372
192	1999	8361
193	2009	8350
194	2019	8338
195	2030	8328
196	2040	8316
197	2050	8305
198	2060	8294
199	2070	8282
200	2080	8269
201	2090	8258
202	2101	8248
203	2110	8236
204	2121	8226
205	2131	8214
206	2141	8203
207	2152	8194
208	2162	8182
209	2171	8170
210	2182	8159
211	2193	8151
212	2204	8143
213	2213	8131
214	2223	8119
215	2234	8111
216	2245	8101
217	2255	8090
218	2265	8080
219	2275	8068
220	2286	8059
221	2296	8049
222	2307	8040
223	2317	8028
224	2328	8019
225	2338	8007
226	2348	7996
227	2358	7987
228	2369	7977
229	2379	7966
230	2389	7955
231	2400	7945
232	2410	7934
233	2420	7923
234	2430	7912
235	2440	7901
236	2451	7891
237	2461	7881
238	2471	7869
